customer_id,arrival_time,service_start_time,service_time,departure_time,waiting_time,system_time
1,0.0,0.0,2.0533740288660494,2.0533740288660494,0.0,2.0533740288660494
2,4.38727515814246,4.38727515814246,2.5319951609861833,6.919270319128643,0.0,2.531995160986183
3,10.711191613654925,10.711191613654925,3.8361530324974984,14.547344646152425,0.0,3.8361530324974993
4,17.111244915787825,17.111244915787825,2.2294962021645173,19.34074111795234,0.0,2.2294962021645155
5,19.205713331247306,19.34074111795234,3.0174370548362033,22.358178172788545,0.13502778670503446,3.1524648415412386
6,24.183085650987564,24.183085650987564,5.5505752299659,29.733660880953465,0.0,5.550575229965901
7,29.10339661017602,29.733660880953465,4.997699320423979,34.73136020137744,0.6302642707774453,5.627963591201421
8,34.31863566599678,34.73136020137744,3.8389988371573347,38.570359038534775,0.41272453538066145,4.251723372537995
9,40.74873746903659,40.74873746903659,3.5690243445201597,44.31776181355675,0.0,3.569024344520159
10,47.52630579158768,47.52630579158768,4.880955043422216,52.4072608350099,0.0,4.880955043422219
11,50.29193298578321,52.4072608350099,5.35677571610956,57.76403655111946,2.115327849226688,7.472103565336248
12,56.174296267486596,57.76403655111946,2.3281286888401844,60.09216523995964,1.5897402836328638,3.9178689724730447
13,61.499083750377416,61.499083750377416,3.166131144248498,64.66521489462592,0.0,3.166131144248503
14,62.60945891408482,64.66521489462592,5.69683097214368,70.36204586676959,2.0557559805411003,7.752586952684773
15,64.4293394974696,70.36204586676959,5.424547770993135,75.78659363776272,5.932706369299993,11.357254140293122
16,69.7816188878378,75.78659363776272,4.806838275285319,80.59343191304804,6.004974749924926,10.811813025210242
17,75.14293600590949,80.59343191304804,2.034195637998967,82.627627551047,5.450495907138546,7.484691545137508
18,78.92085585743708,82.627627551047,5.769188757990666,88.39681630903766,3.706771693609923,9.475960451600585
19,85.57555773880443,88.39681630903766,3.5364449419584845,91.93326125099614,2.8212585702332262,6.357703512191705
20,88.66783176325427,91.93326125099614,2.877003739700507,94.81026499069665,3.2654294877418693,6.142433227442382
21,95.6297464597555,95.6297464597555,2.6742099630091207,98.30395642276461,0.0,2.674209963009119
22,100.81226448077352,100.81226448077352,2.325136224843628,103.13740070561715,0.0,2.3251362248436322
23,105.55734201457729,105.55734201457729,5.733014577596276,111.29035659217357,0.0,5.733014577596279
24,108.17599128920548,111.29035659217357,1.657369692940974,112.94772628511454,3.114365302968082,4.771734995909057
25,111.71797154120053,112.94772628511454,2.542276282310711,115.49000256742525,1.2297547439140146,3.772031026224724
26,114.81572123720687,115.49000256742525,1.0142963590377554,116.50429892646301,0.6742813302183777,1.6885776892561353
27,118.2206359650309,118.2206359650309,4.671696595463911,122.89233256049481,0.0,4.671696595463914
28,122.18596298430047,122.89233256049481,4.489410506192423,127.38174306668724,0.7063695761943336,5.1957800823867615
29,125.67938714593073,127.38174306668724,4.971473511517419,132.35321657820467,1.7023559207565029,6.6738294322739335
30,128.46296704322376,132.35321657820467,5.51494379029879,137.86816036850345,3.89024953498091,9.405193325279697
31,135.29182420887,137.86816036850345,2.3308217650744685,140.1989821335779,2.576336159633456,4.907157924707917
32,140.70643729212904,140.70643729212904,5.208032833282403,145.91447012541144,0.0,5.208032833282402
33,148.66215460353308,148.66215460353308,3.7966700181398396,152.45882462167293,0.0,3.7966700181398494
34,152.7617587244053,152.7617587244053,2.253905534727825,155.01566425913313,0.0,2.253905534727835
35,155.39879996078864,155.39879996078864,3.1572244220110743,158.5560243827997,0.0,3.157224422011069
36,158.59209136518203,158.59209136518203,4.01577223386461,162.60786359904665,0.0,4.015772233864624
37,166.06718302891923,166.06718302891923,3.7307180770975474,169.79790110601678,0.0,3.730718077097549
38,168.4800725601159,169.79790110601678,5.553591966508909,175.3514930725257,1.3178285459008805,6.871420512409799
39,169.7932575044651,175.3514930725257,2.375747116362436,177.72724018888815,5.55823556806061,7.933982684423057
40,172.72359013998133,177.72724018888815,4.811639522460921,182.53887971134907,5.00365004890682,9.815289571367742
41,174.41466125025613,182.53887971134907,4.153408698797615,186.6922884101467,8.124218461092937,12.277627159890557
42,177.15838359558435,186.6922884101467,1.013668547730481,187.70595695787716,9.533904814562334,10.547573362292809
43,184.2271957710682,187.70595695787716,3.4283337355200634,191.13429069339722,3.4787611868089527,6.907094922329009
44,188.6620303937826,191.13429069339722,4.673301837584488,195.8075925309817,2.472260299614618,7.145562137199107
45,192.33947572219358,195.8075925309817,1.3949190182277822,197.2025115492095,3.4681168087881247,4.863035827015921
46,195.30221343101888,197.2025115492095,5.772256478701005,202.9747680279105,1.9002981181906193,7.672554596891615
47,200.14436740772965,202.9747680279105,4.920939501218815,207.8957075291293,2.8304006201808534,7.751340121399664
48,203.22702696869433,207.8957075291293,5.225617391303304,213.1213249204326,4.668680560434979,9.894297951738281
49,205.4984600136008,213.1213249204326,4.503315442736518,217.62464036316914,7.622864906831808,12.12618034956833
50,208.5646100795755,217.62464036316914,2.3160349089044288,219.94067527207358,9.060030283593647,11.37606519249809
51,214.9334882851527,219.94067527207358,2.426681088533954,222.36735636060752,5.007186986920885,7.433868075454825
52,220.8641977708864,222.36735636060752,4.641889435081504,227.00924579568903,1.5031585897211244,6.145048024802634
53,223.02223945788944,227.00924579568903,2.8317868553717864,229.8410326510608,3.987006337799585,6.818793193171359
54,224.53289984443356,229.8410326510608,3.5332517936694785,233.37428444473028,5.308132806627242,8.84138460029672
55,229.54655234944877,233.37428444473028,5.800333830020033,239.17461827475032,3.8277320952815046,9.628065925301541
